siteId,date,phMean,phMax,phMin,phSd,phCnt,caMean,caMax,caMin,caSd,caCnt,tempMean,tempMax,tempMin,tempSd,tempCnt,uniqueSiteDates
1119USBR_WQX-PAL006,2014-07-29,7.51588235294,8.2,6.94,0.342017156432,17.0,34.9,35.0,34.8,0.141421356237,2.0,16.34,20.4,10.9,3.04109942525,15.0,2014-07-29_break_1119USBR_WQX-PAL006
11NPSWRD_WQX-GRTE_SNR01,2014-09-23,8.26,8.26,8.26,,1.0,16.125,17.7,15.3,1.13247516529,4.0,17.06,17.06,17.06,,1.0,2014-09-23_break_11NPSWRD_WQX-GRTE_SNR01
11NPSWRD_WQX-GRTE_SNR01,2014-08-13,,,,,,15.1,15.5,14.7,0.565685424949,2.0,18.0,18.0,18.0,,1.0,2014-08-13_break_11NPSWRD_WQX-GRTE_SNR01
1119USBR_WQX-JAC101,2014-08-19,7.08,7.36,6.8,0.395979797464,2.0,13.4,13.4,13.4,,1.0,17.0,17.0,17.0,,1.0,2014-08-19_break_1119USBR_WQX-JAC101
1119USBR_WQX-JAC001,2010-07-22,7.74866666667,8.31,7.32,0.331336399334,15.0,15.0,15.0,15.0,0.0,2.0,9.52307692308,17.4,5.6,3.92261686594,13.0,2010-07-22_break_1119USBR_WQX-JAC001
1119USBR_WQX-PAL007,2010-07-21,8.48666666667,8.74,8.1,0.239426397876,9.0,37.1,39.1,35.1,2.82842712475,2.0,17.5857142857,19.7,15.6,1.69452901168,7.0,2010-07-21_break_1119USBR_WQX-PAL007
1119USBR_WQX-PAL008,2010-08-04,8.14181818182,8.75,7.53,0.465890201285,22.0,40.6,44.3,36.9,5.23259018078,2.0,14.725,20.7,6.9,5.31065215541,20.0,2010-08-04_break_1119USBR_WQX-PAL008
1119USBR_WQX-JAC001,2010-08-05,7.86428571429,8.51,7.22,0.436343447751,14.0,14.75,14.9,14.6,0.212132034356,2.0,11.425,19.9,6.3,4.92786603271,12.0,2010-08-05_break_1119USBR_WQX-JAC001
1119USBR_WQX-PAL101,2010-08-04,8.185,8.27,8.1,0.120208152802,2.0,37.5,37.5,37.5,,1.0,13.7,13.7,13.7,,1.0,2010-08-04_break_1119USBR_WQX-PAL101
WYDEQ_WQX-MRW0172,2009-09-15,7.94,7.94,7.94,,1.0,8.0,8.0,8.0,,1.0,9.5,9.5,9.5,,1.0,2009-09-15_break_WYDEQ_WQX-MRW0172
1119USBR_WQX-JAC001,2012-07-25,7.610625,8.1,7.0,0.340753454372,16.0,14.0666666667,14.4,13.9,0.288675134595,3.0,11.3769230769,20.9,6.4,5.72555002396,13.0,2012-07-25_break_1119USBR_WQX-JAC001
1119USBR_WQX-JAC101,2012-07-25,7.715,7.93,7.5,0.30405591591,2.0,13.8,13.8,13.8,,1.0,16.2,16.2,16.2,,1.0,2012-07-25_break_1119USBR_WQX-JAC101
1119USBR_WQX-JAC101,2012-08-08,7.825,8.15,7.5,0.459619407771,2.0,14.0,14.0,14.0,,1.0,18.0,18.0,18.0,,1.0,2012-08-08_break_1119USBR_WQX-JAC101
1119USBR_WQX-JAC001,2012-08-08,7.675,8.4,7.0,0.447973213485,16.0,14.0666666667,14.2,13.8,0.230940107676,3.0,11.8923076923,19.8,7.0,5.26995596731,13.0,2012-08-08_break_1119USBR_WQX-JAC001
1119USBR_WQX-PAL008,2012-06-27,7.91913043478,8.5,7.48,0.311271776069,23.0,42.1,48.2,36.0,8.62670273048,2.0,11.2666666667,17.7,5.4,4.20836468635,21.0,2012-06-27_break_1119USBR_WQX-PAL008
